iter	Passed	Remaining
0	154	153887
1	154	77236
2	155	51646
3	155	38843
4	156	31170
5	157	26059
6	157	22404
7	158	19665
8	159	17525
9	159	15817
10	160	14426
11	161	13260
12	161	12285
13	162	11452
14	163	10716
15	163	10069
16	164	9496
17	164	8988
18	165	8531
19	165	8119
20	166	7748
21	166	7409
22	167	7100
23	167	6817
24	168	6556
25	168	6317
26	169	6097
27	169	5891
28	170	5698
29	170	5518
30	171	5349
31	171	5191
32	172	5043
33	172	4903
34	173	4772
35	173	4648
36	174	4532
37	174	4425
38	175	4324
39	179	4307
40	180	4225
41	181	4142
42	183	4085
43	184	4006
44	185	3934
45	186	3858
46	186	3783
47	187	3711
48	187	3643
49	188	3578
50	188	3515
51	189	3461
52	190	3405
53	191	3351
54	191	3296
55	192	3245
56	193	3196
57	193	3147
58	194	3099
59	195	3055
60	195	3010
61	196	2967
62	196	2926
63	197	2886
64	197	2848
65	198	2810
66	199	2776
67	199	2737
68	200	2703
69	201	2670
70	201	2640
71	202	2608
72	203	2578
73	203	2547
74	204	2519
75	205	2497
76	206	2480
77	207	2453
78	208	2429
79	209	2405
80	209	2381
81	210	2359
82	211	2337
83	212	2315
84	212	2291
85	213	2271
86	214	2247
87	215	2228
88	215	2208
89	216	2189
90	217	2169
91	218	2153
92	218	2133
93	219	2118
94	220	2101
95	221	2084
96	221	2065
97	222	2047
98	222	2029
99	223	2013
100	224	1996
101	224	1977
102	225	1960
103	225	1943
104	226	1928
105	226	1913
106	227	1899
107	228	1885
108	229	1872
109	229	1857
110	230	1848
111	231	1836
112	232	1824
113	232	1810
114	233	1798
115	234	1784
116	234	1772
117	235	1760
118	236	1747
119	236	1734
120	237	1723
121	237	1711
122	238	1697
123	238	1685
124	238	1672
125	239	1660
126	239	1649
127	240	1636
128	240	1625
129	241	1613
130	241	1602
131	242	1591
132	242	1581
133	243	1570
134	243	1559
135	243	1549
136	244	1542
137	245	1532
138	245	1522
139	246	1512
140	246	1503
141	247	1494
142	247	1484
143	248	1475
144	248	1467
145	249	1458
146	249	1449
147	250	1440
148	250	1432
149	251	1423
150	251	1415
151	252	1406
152	252	1398
153	253	1390
154	253	1383
155	254	1375
156	254	1367
157	255	1360
158	255	1352
159	256	1345
160	256	1338
161	257	1330
162	257	1324
163	258	1319
164	259	1313
165	260	1307
166	260	1300
167	261	1293
168	261	1286
169	262	1279
170	262	1273
171	263	1268
172	264	1262
173	264	1256
174	265	1250
175	265	1245
176	266	1239
177	267	1233
178	267	1227
179	268	1222
180	268	1215
181	269	1209
182	269	1204
183	270	1198
184	270	1193
185	271	1188
186	273	1189
187	274	1184
188	274	1179
189	275	1174
190	276	1169
191	276	1164
192	277	1158
193	277	1153
194	278	1148
195	278	1143
196	279	1138
197	279	1133
198	280	1128
199	280	1123
200	281	1118
201	281	1112
202	282	1107
203	282	1102
204	283	1097
205	283	1092
206	284	1088
207	284	1083
208	285	1078
209	286	1079
210	288	1077
211	289	1074
212	290	1072
213	290	1067
214	291	1063
215	291	1058
216	292	1054
217	292	1050
218	293	1046
219	294	1042
220	294	1038
221	295	1034
222	295	1029
223	296	1025
224	296	1021
225	296	1016
226	297	1012
227	297	1008
228	298	1004
229	298	1000
230	299	996
231	300	993
232	300	989
233	301	985
234	301	982
235	302	978
236	302	974
237	303	970
238	303	966
239	304	962
240	304	958
241	304	955
242	305	951
243	305	947
244	306	944
245	306	940
246	307	937
247	307	933
248	308	929
249	308	926
250	309	923
251	309	919
252	310	916
253	310	913
254	311	909
255	311	906
256	312	903
257	312	899
258	313	896
259	313	892
260	314	891
261	315	888
262	316	885
263	316	882
264	317	879
265	317	877
266	318	874
267	319	871
268	319	869
269	320	866
270	321	864
271	322	862
272	322	859
273	323	856
274	324	854
275	324	851
276	325	848
277	325	846
278	326	843
279	327	840
280	327	838
281	329	838
282	329	835
283	330	832
284	330	830
285	331	827
286	331	824
287	332	821
288	332	818
289	333	816
290	333	813
291	334	810
292	334	807
293	335	805
294	335	802
295	336	799
296	336	797
297	337	794
298	337	791
299	338	789
300	338	786
301	339	784
302	340	782
303	340	779
304	341	777
305	341	775
306	343	775
307	344	774
308	345	771
309	345	769
310	346	767
311	346	764
312	347	762
313	347	760
314	348	757
315	348	755
316	349	752
317	349	750
318	350	747
319	350	745
320	351	743
321	351	740
322	352	738
323	352	735
324	353	733
325	353	731
326	354	729
327	354	726
328	355	724
329	355	722
330	356	720
331	356	718
332	357	715
333	357	713
334	358	711
335	358	709
336	359	706
337	359	704
338	360	702
339	360	700
340	361	698
341	361	696
342	362	693
343	362	691
344	363	689
345	363	687
346	364	685
347	364	683
348	365	681
349	365	679
350	366	676
351	366	674
352	367	672
353	367	670
354	368	668
355	368	666
356	369	664
357	369	662
358	370	661
359	371	659
360	372	658
361	372	656
362	373	654
363	373	652
364	374	650
365	374	648
366	375	647
367	375	645
368	376	643
369	377	642
370	377	640
371	379	640
372	380	639
373	380	637
374	381	635
375	382	634
376	382	632
377	383	630
378	384	630
379	385	628
380	385	626
381	386	625
382	386	623
383	387	621
384	387	619
385	388	617
386	388	615
387	389	614
388	389	612
389	390	610
390	390	608
391	391	606
392	391	605
393	392	603
394	392	601
395	393	599
396	393	597
397	394	596
398	394	594
399	395	592
400	395	590
401	396	589
402	396	587
403	397	585
404	397	583
405	400	585
406	400	584
407	401	582
408	402	581
409	402	579
410	403	578
411	403	576
412	404	574
413	404	573
414	405	571
415	406	570
416	406	568
417	406	566
418	407	564
419	408	563
420	408	561
421	408	560
422	409	558
423	410	556
424	410	555
425	411	553
426	411	552
427	411	550
428	412	549
429	413	548
430	413	546
431	414	545
432	415	543
433	415	541
434	415	540
435	416	538
436	417	537
437	417	535
438	417	534
439	418	532
440	418	531
441	419	529
442	419	527
443	420	526
444	420	524
445	421	523
446	421	521
447	422	520
448	422	518
449	423	517
450	423	515
451	424	514
452	424	512
453	425	511
454	425	509
455	426	508
456	427	507
457	427	506
458	428	504
459	428	503
460	429	501
461	429	500
462	430	499
463	430	497
464	431	496
465	432	495
466	432	494
467	433	492
468	434	491
469	434	490
470	435	489
471	436	488
472	437	487
473	438	486
474	438	485
475	439	483
476	440	482
477	440	481
478	442	481
479	442	479
480	443	478
481	443	477
482	444	475
483	444	474
484	445	472
485	445	471
486	446	470
487	446	468
488	447	467
489	447	466
490	448	464
491	448	463
492	449	462
493	449	460
494	450	459
495	450	458
496	451	456
497	451	455
498	452	454
499	453	453
500	453	451
501	454	450
502	454	449
503	456	449
504	457	448
505	458	448
506	459	446
507	460	445
508	460	444
509	461	443
510	461	441
511	462	440
512	462	439
513	463	437
514	463	436
515	464	435
516	464	434
517	465	432
518	465	431
519	466	430
520	466	428
521	466	427
522	467	426
523	467	425
524	468	423
525	468	422
526	470	421
527	470	420
528	471	419
529	471	418
530	472	416
531	472	415
532	473	414
533	473	413
534	474	412
535	474	410
536	475	409
537	475	408
538	476	407
539	476	405
540	477	404
541	477	403
542	477	402
543	478	401
544	479	399
545	479	398
546	479	397
547	480	396
548	480	395
549	481	393
550	481	392
551	482	391
552	483	390
553	483	389
554	484	388
555	484	387
556	485	385
557	485	384
558	486	383
559	486	382
560	487	381
561	487	380
562	488	379
563	489	378
564	489	377
565	490	376
566	491	375
567	492	374
568	492	373
569	493	372
570	494	371
571	494	370
572	495	369
573	495	368
574	496	366
575	498	366
576	498	365
577	499	364
578	499	363
579	500	362
580	500	361
581	501	360
582	501	359
583	502	357
584	502	356
585	503	355
586	504	354
587	504	353
588	505	352
589	505	351
590	506	350
591	506	349
592	507	348
593	507	346
594	507	345
595	508	344
596	508	343
597	509	342
598	510	341
599	511	341
600	512	340
601	513	339
602	513	338
603	514	337
604	514	336
605	515	335
606	515	334
607	516	333
608	517	332
609	517	331
610	518	330
611	518	329
612	519	327
613	519	326
614	520	325
615	520	324
616	521	323
617	521	322
618	522	321
619	522	320
620	523	319
621	523	318
622	524	317
623	524	316
624	525	315
625	525	314
626	526	313
627	527	312
628	527	311
629	527	310
630	528	309
631	528	307
632	529	306
633	529	305
634	530	304
635	530	303
636	531	302
637	531	301
638	532	300
639	532	299
640	533	298
641	533	297
642	534	296
643	534	295
644	535	294
645	535	293
646	536	292
647	536	291
648	537	290
649	537	289
650	538	288
651	538	287
652	539	286
653	539	285
654	540	284
655	541	283
656	541	282
657	542	281
658	542	280
659	543	279
660	544	279
661	544	278
662	545	277
663	546	276
664	546	275
665	547	274
666	548	273
667	549	273
668	550	272
669	550	271
